order,source,author.ID,name,variant.name,author.name,author.abbrev,standard.name,full.name,geog.author,geog.collector,family,family.obs,full.name1,tdwg.name,last.name,finger.print,family1,obs
1697,huh,33460,"Wanderley, Maria das Graáas Lapa",Maria das Graáas Lapa Wanderley,Wanderley,Wand.,M. G. L. Wanderley,"Wanderley, Maria das Graáas Lapa",Brazil,Brazil,Xyridaceae,NA,Maria das GraÁas Lapa Wanderley,"Wanderley, M.G.L.",wanderley,adeegllmnrwy,[author note: SP; Xyridaceae; Bromeliaceae; floristics] [collector note: SP],
1698,huh,33460,"Wanderley, Maria das Graáas Lapa",Maria das Graáas Lapa Wanderley,Wanderley,Wand.,M. G. L. Wanderley,"Wanderley, Maria das Graáas Lapa",Brazil,Brazil,Xyridaceae,NA,Maria das GraÁas Lapa Wanderley,"Wanderley, M.D.G.L.",wanderley,addeegllmnrwy,[author note: SP; Xyridaceae; Bromeliaceae; floristics] [collector note: SP],
1699,huh,73269,"Magana, Patricia",Patricia Magana,Maga§a,Magana,Maga§a,"Magana, Patricia",Mexico,NA,Bromeliaceae,NA,Patricia Magana,"Magana, P.",magana,aaagmnp,[author note: UNAM - undergraduate thesis on Bromeliaceae],
1700,huh,42727,"Whitten, W. Mark",Mark Whitten,Whitten,Whitten,W. M. Whitten,"Whitten, W. Mark",USA,Ecuador; Guatemala; USA,Bromeliaceae,NA,W. Mark Whitten,"Whitten, W.M.",whitten,ehimnttww,"First name, William, is hardly used; name appears as 'Mark W. Whitten' in Orchidee (43(6): 270. 1992), a typographical error. Examples of Names Published: Stanhopea panamensis N.H. Williams & W.M. Whitten in Lindleyana, 3(1): 9 (1988). Pitcairnia stevensonii H.E. Luther & M. Whitten, J. Bromeliad Soc. 42(6): 245 1992. [author note: Bromeliaceae, Orchids; Univ. Florida] [collector note: FLAS, QCA, QCNE, RPSC, SEL, US]",
1701,huh,42727,"Whitten, W. Mark",Mark Whitten,Whitten,Whitten,W. M. Whitten,"Whitten, W. Mark",USA,Ecuador; Guatemala; USA,Bromeliaceae,NA,W. Mark Whitten,"Whitten, M.",whitten,ehimnttw,"First name, William, is hardly used; name appears as 'Mark W. Whitten' in Orchidee (43(6): 270. 1992), a typographical error. Examples of Names Published: Stanhopea panamensis N.H. Williams & W.M. Whitten in Lindleyana, 3(1): 9 (1988). Pitcairnia stevensonii H.E. Luther & M. Whitten, J. Bromeliad Soc. 42(6): 245 1992. [author note: Bromeliaceae, Orchids; Univ. Florida] [collector note: FLAS, QCA, QCNE, RPSC, SEL, US]",
1702,huh,77145,"Salinas, Nelson R.",Nelson R. Salinas,N. R. Salinas,N. R. Salinas,N. R. Salinas,"Salinas, Nelson R.",Colombia,NA,Bromeliaceae,NA,Nelson R. Salinas,"Salinas, N.R.",salinas,aailnnrss,[author note: Bromeliaceae],
1703,huh,14823,"Zoellner, Otto",Otto Zîllner,Zoellner,Zoellner,O. Zîllner,"Zoellner, Otto",Germany,Chile,Bromeliaceae,NA,Otto Zoellner,"Zoellner, O.",zoellner,eellnoorz,"[author note: Bromeliaceae] [collector note: B (r. 1963-64), L (plants from mainly C. Chile, col. 1968-75), LP, MO, MIN, NY, SGO, SI] Example of Names Published: Culcitium albifolium Zoellner in Anales Mus. Hist. Nat. Valparaiso 3: 65. 1970. Prosopis reptans var. chilensis Zoellner & M.Olivares in Not. Mens. Mus. Nacion. Hist. Nat. (Chile), 344: 11. 2001, as Zîllner at title. [Usually the spelling Zoellner after plant names, sometimes the spelling Zîllner used at the title. of article.]",
1704,huh,14823,"Zoellner, Otto",Otto Zîllner,Zoellner,Zoellner,O. Zîllner,"Zoellner, Otto",Germany,Chile,Bromeliaceae,NA,Otto Zoellner,"Zollner, O.",zollner,ellnoorz,"[author note: Bromeliaceae] [collector note: B (r. 1963-64), L (plants from mainly C. Chile, col. 1968-75), LP, MO, MIN, NY, SGO, SI] Example of Names Published: Culcitium albifolium Zoellner in Anales Mus. Hist. Nat. Valparaiso 3: 65. 1970. Prosopis reptans var. chilensis Zoellner & M.Olivares in Not. Mens. Mus. Nacion. Hist. Nat. (Chile), 344: 11. 2001, as Zîllner at title. [Usually the spelling Zoellner after plant names, sometimes the spelling Zîllner used at the title. of article.]",
1705,huh,19610,"Schneider, Peter",Peter Schneider,P. Schneider,P. Schneid.,P. Schneider,"Schneider, Peter",Germany,Mexico,Bromeliaceae,NA,Peter Schneider,"Schneider, P.",schneider,cdeehinprs,"Research: Bromeliaceae, Orchidaceae [author note: Specimens at JE, WU] [collector note: Collected with Lotte Hromadnik. JE, WU]",
1706,huh,4621,"Baker, Richard A.",Richard Baker,R. A. Baker,R. A. Baker,R. A. Baker,"Baker, Richard A.",USA,Costa Rica,Araceae,NA,Richard A. Baker,"Baker, R.A.",baker,aabekrr,[author note: Araceae] [collector note: col. with J. F. Utley & K. Utley; F],
1707,huh,4621,"Baker, Richard A.",Richard Baker,R. A. Baker,R. A. Baker,R. A. Baker,"Baker, Richard A.",USA,Costa Rica,Araceae,NA,Richard A. Baker,"Baker, R.",baker,abekrr,[author note: Araceae] [collector note: col. with J. F. Utley & K. Utley; F],
1708,huh,34578,"WÅlfinghoff, Rudolf",Rudolf Wulfinghoff,WÅlfinghoff,WÅlfingh.,R. WÅlfinghoff,"WÅlfinghoff, Rudolf",Germany,Ecuador; Germany; Mexico,Bromeliaceae,NA,Rudolf W¸lfinghoff,"Wulfinghoff, R.",wulfinghoff,fffghilnoruw,"[author note: Bromeliaceae; Photography] [collector note: FR, HEID, WU]",
1709,huh,71775,"Sha, Shi-Gui",Shi-Gui Sha,S. G. Sha,S. G. Sha,S. G. Sha,"Sha, Shi-Gui",China,NA,Pontederiaceae,NA,Shi-Gui Sha,"Sha, S.",sha,ahss,"[author note: SITC; Pontederiaceae, Xyridaceae, Bromeliaceae, Eriocaulaceae, all of Sichuan]",
1710,huh,10915,"Strehl, Teresia",Teresia Strehl,Strehl,Strehl,T. Strehl,"Strehl, Teresia",Brazil,Brazil,Bromeliaceae,NA,Teresia Strehl,"Strehl, T.",strehl,ehlrstt,"Example of Name Published: Dyckia ibicuiensis Strehl in Bromelia, 4(4): 14. 1998 (""1997""). [author note: HAS; Bromeliaceae] [collector note: HAS]",
1711,huh,21222,"Till, Walter","Till, W.",W. Till,W. Till,W. Till,"Till, Walter",Austria,Austria,Bromeliaceae,NA,Walter Till,"Till, W.",till,illtw,[author note: Wu; Bromeliaceae] [collector note: WU],
1712,huh,90443,"Vivas Arroyo, Yuribia",Yuribia Vivas Arroyo,Vivas,Vivas,Y. Vivas,"Vivas Arroyo, Yuribia",Venezuela,Venezuela,Bromeliaceae,NA,Yuribia Vivas Arroyo,"Arroyo, Y.V.",arroyo,aoorrvyy,"Research: Taxonomy & Floristics of Bromeliaceae [collector note: GUYN, SEL, VEN]",
1713,huh,80593,"Rhodes, Donald Gene",Donald G. Rhodes,D. G. Rhodes,D. G. Rhodes,D. G. Rhodes,"Rhodes, Donald Gene",USA,NA,Menispermaceae,NA,Donald Gene Rhodes,"Rhodes, D.G.",rhodes,ddeghors,"[author note: LTU; Menispermaceae, flora of Louisiana, wetlands]",
1714,huh,24834,"Forman, Lewis Leonard",Lewis L. Forman,Forman,Forman,L. L. Forman,"Forman, Lewis Leonard",NA,Indonesia,Menispermaceae,NA,Lewis Leonard Forman,"Forman, L.L.",forman,afllmnor,"[author note: Herbarium and types: K. Tropical E Asia; Menispermaceae] [collector note: Borneo, Celebes, Java. K]",
1715,huh,90307,"Yang, M.",NA,M. Yang,M. Yang,M. Yang,"Yang, M.",China,NA,Menispermaceae,NA,M. Yang,"Yang, M.",yang,agmny,"[author note: Menispermaceae, Stephania]",
1716,huh,43207,"Peixoto, Ariane Luna",Ariane Luna Peixoto,Peixoto,Peixoto,A. L. Peixoto,"Peixoto, Ariane Luna",Brazil,Brazil,Monimiaceae,NA,Ariane Luna Peixoto,"Peixoto, A.L.",peixoto,aeilooptx,Example of Name Published: Grazielanthus Peixoto & V. Pereira (2008). [author note: CVRD; Monimiaceae- Monimioideae; Espirito Santo woody plants] [collector note: CVRD],
1717,huh,77103,"Gottwald, Helmut",Helmut Gottwald,H. Gottwald,H. Gottwald,H. Gottwald,"Gottwald, Helmut",Germany,NA,Monimiaceae,NA,Helmut Gottwald,"Gottwald, H.",gottwald,adghlottw,[author note: Monimiaceae],
1718,huh,598,"Perkins, Janet Russell",Janet Russell Perkins,Perkins,Perkins,J. R. Perkins,"Perkins, Janet Russell",Germany; Jamaica; USA,Jamaica,Styracaceae,NA,Janet Russell Perkins,"Perkins, J.R.",perkins,eijknprrs,"[author note: Herbarium and types: original material and types at B (mostly destroyed); additional material at A, F, G, GH, K. Styracaceae, Monimiaceae] [collector note: West Indies; A]",
1719,huh,71591,"Pollard, B. J.",B. J. Pollard,B. J. Pollard,B. J. Pollard,B. J. Pollard,"Pollard, B. J.",NA,NA,Moraceae,NA,B. J. Pollard,"Pollard, B.J.",pollard,abdjllopr,[author note: K; Moraceae],
1720,huh,63630,"Chang, Siu-Shih",Siu-Shih Chang,S. S. Chang,S. S. Chang,S. S. Chang,"Chang, Siu-Shih",China,NA,Moraceae,NA,Siu-Shih Chang,"Chang, S.",chang,acghns,"[author note: HGAS; seed plants of Guizhou, Moraceae of China]",
1721,huh,91015,"Upadhyay, Gautam Kumar",Gautam Kumar Upadhyay,G. K. Upadhyay,G. K. Upadhyay,G. K. Upadhyay,"Upadhyay, Gautam Kumar",India,India,Moraceae,NA,Gautam Kumar Upadhyay,"Upadhyay, G.K.",upadhyay,aadghkpuyy,"Example of Name Published: Morus macroura Miq. var. laxi<U+FB02>ora G. K. Upadhyay & A. A. Ansari (30 Jun 2010). Education: M.Sc. (1999; Berhampur University, Orissa, India); M.Phil.; B.Ed.; B.Sc. Research: Revision of Moraceae for India. [collector note: ARUN, ASSAM, CAL, PBL]",
1722,huh,41852,"Gong, Gu-tang",Gu-Tang Gong,G. T. Gong,G. T. Gong,G. T. Gong,"Gong, Gu-tang",China,China,Moraceae,NA,Gu-tang Gong,"Gong, G.",gong,gggno,"[author note: SCFI; Moraceae, Myrtaceae, Salicaceae] [collector note: SCFI]",
1723,huh,68243,"Go, Rusea",NA,R. Go,R. Go,R. Go,"Go, Rusea",Malaysia,NA,Moraceae,NA,Rusea Go,"Rusea, G.",rusea,aegrsu,[author note: Moraceae],
1724,huh,73773,"Hijman, Maria E. E.",Maria E. E. Hijman,Hijman,Hijman,Hijman,"Hijman, Maria E. E.",Netherlands,NA,Moraceae,NA,Maria E. E. Hijman,"Hijman, M.E.E.",hijman,aeehijmmn,[author note: U; Moraceae],
1725,huh,75050,"Kvitvik, Trond Arne",Trond Arne Kvitvik,Kvitvik,Kvitvik,Kvitvik,"Kvitvik, Trond Arne",Finland,NA,Moraceae,NA,Trond Arne Kvitvik,"Kvitvik, T.A.",kvitvik,aiikkttvv,[author note: Moraceae],
1726,huh,62226,"Romaniuc Neto, Sergio",Sergio Romaniuc Neto,Romaniuc,Romaniuc,S. Romaniuc Neto,"Romaniuc Neto, Sergio",Brazil,NA,Moraceae,NA,Sergio Romaniuc Neto,"Romaniuc Neto, S.",romaniuc neto,aceimnnoorstu,"[author note: Specimens at SP] Research: Moraceae; Urticaceae; floristics. Example of Name Published: Sorocea jureiana Romaniuc, Albertoa 4(8): 98. 1996",
1727,huh,77583,"Wu, Yu-Bi",Yu-Bi Wu,Y. B. Wu,Y. B. Wu,Y. B. Wu,"Wu, Yu-Bi",NA,NA,Moraceae,NA,Yu-Bi Wu,"Yu-Bi, W.",yu-bi,biuwy,[author note: Moraceae; PE],
1728,huh,64968,"Sabatier, Daniel",Daniel Sabatier,Sabatier,Sabatier,Sabatier,"Sabatier, Daniel",France,NA,Myristicaceae,NA,Daniel Sabatier,"Sabatier, D.",sabatier,aabdeirst,"[author note: Inst. Rech. DÇvelopp., Montpellier Cedex; Myristicaceae]",
1729,huh,78558,"de Wilde, Willem Jan Jacobus Oswald",Willem Jan Jacobus Oswald de Wilde,W. J. de Wilde,W. J. de Wilde,W. J. de Wilde,"de Wilde, Willem Jan Jacobus Oswald",Netherlands,NA,Myristicaceae,NA,Willem Jan Jacobus Oswald de Wilde,"Wilde, W.J.J.O.",wilde,deijjloww,[author note: Univ. Leiden branch; Myristicaceae],
1730,huh,89408,"Sauquet, HervÇ",HervÇ Sauquet,Sauquet,Sauquet,H. Sauquet,"Sauquet, HervÇ",Australia (Country); France; Sweden; United Kingdom,Australia (Country); Madagascar,Myristicaceae,NA,HervÈ Sauquet,"Sauquet, H.",sauquet,aehqstuu,"Example of Name Published: Doyleanthus Sauquet in Amer. J. Bot. 90(9): 1304. 2003. Research: Myristicaceae and Proteaceae. [collector note: NSW, P]",
1731,huh,12169,"Janovec, John Paul",John Paul Janovec,Janovec,Janovec,J. P. Janovec,"Janovec, John Paul",Mexico; USA,Belize; Costa Rica; Ecuador; Peru; USA,Myristicaceae,NA,John Paul Janovec,"Janovec, J.P.",janovec,acejjnopv,"[author note: Texas A&M Univ; NYBG; Col. at: MO, NY, TAMU; Myristicaceae, Neotrop. floristics] [collector note: MO, NY, TAMU]",
1732,huh,77362,"Jaramillo, Tatiana S.",Tatiana S. Jaramillo V.,T. S. Jaramillo,T. S. Jaram.,T. S. Jaramillo,"Jaramillo, Tatiana S.",Ecuador,NA,Myristicaceae,NA,Tatiana S. Jaramillo,"Jaramillo, T.S.",jaramillo,aaijllmorst,[author note: QCA; Myristicaceae],
1733,huh,77362,"Jaramillo, Tatiana S.",Tatiana S. Jaramillo V.,T. S. Jaramillo,T. S. Jaram.,T. S. Jaramillo,"Jaramillo, Tatiana S.",Ecuador,NA,Myristicaceae,NA,Tatiana S. Jaramillo,"Tatiana, S.J.V.",tatiana,aaaijnsttv,[author note: QCA; Myristicaceae],
1734,huh,67407,"Muriel, Priscilla",Priscilla Muriel,Muriel,NA,P. Muriel,"Muriel, Priscilla",Ecuador,NA,Myristicaceae,NA,Priscilla Muriel,"Muriel, P.",muriel,eilmpru,[author note: QCA; Myristicaceae],
1735,huh,7037,"Rodrigues, William Antonio","Rodrigues, W. A.",W. A. Rodrigues,W. A. Rodrigues,W. A. Rodrigues,"Rodrigues, William Antonio",Brazil,Brazil,Myristicaceae,NA,William Antonio Rodrigues,"Rodrigues, W.A.",rodrigues,adegiorrsuw,"[author note: INPA; Amazonian phanerogams; neotropical Myristicaceae] [collector note: Brazil (1954-x): IAC (fungi), IAN, IBGE, INPA (orig.), MG, NY, RB, US]",
1736,huh,10570,"Ford, A. J.",A. J. Ford,A. J. Ford,A. J. Ford,A. J. Ford,"Ford, A. J.",Australia (Country),Australia (Country),Myrtaceae,NA,A. J. Ford,"Ford, A.J.",ford,adfjor,"[author note: Trop. Forest Res. Centre, Atherton; Myrtaceae; Col. at: BRI, CANB, GREE, K, MEL, MO, NSW, QRS, SYD] [collector note: BRI, CANB, GREE, K, MEL, MO, NSW, QRS, SYD]",
1737,huh,68880,"Salywon, Andrew M.",Andrew M. Salywon,Salywon,Salywon,A. M. Salywon,"Salywon, Andrew M.",USA,NA,Myrtaceae,NA,Andrew M. Salywon,"Salywon, A.M.",salywon,aalmnoswy,"[author note: USDA, Phoenix; Myrtaceae]",
1738,huh,29229,"Bean, Anthony Russell",Anthony Russell Bean,A. R. Bean,A. R. Bean,A. R. Bean,"Bean, Anthony Russell",Australia (Country),Australia (Country),Myrtaceae,NA,Anthony Russell Bean,"Bean, A.R.",bean,aabenr,"[author note: Astreotricha, Stylidium, Myrtaceae, Rosaceae; col. at: BRI (full set), MEL, NSW, CANB, K, L, AD, PERTH, A, P, MO, DNA, QRS] [collector note: A, AD, BRI (full set), CANB, DNA, K, L, MEL, MO, NSW, P, PERTH, QRS]",
1739,huh,37457,"Briggs, Barbara Gillian",Barbara G. Briggs,B. G. Briggs,B. G. Briggs,B. G. Briggs,"Briggs, Barbara Gillian",Australia (Country),Australia (Country),Restionaceae,NA,Barbara Gillian Briggs,"Briggs, B.G.",briggs,bbgggirs,"[author note: NSW: Restionaceae, Myrtaceae, Proteaceae] [collector note: A, CANB, K, L, MEL, MO, NSW, PE, PERTH, PRE, RSA]",
1740,huh,249,"Berg, Otto Karl",Otto Karl Berg,O. Berg,O. Berg,O. K. Berg,"Berg, Otto Karl",Germany,NA,Myrtaceae,NA,Otto Karl Berg,"Berg, O.K.",berg,begkor,"[author note: Herbarium and types: B, some types in other herbaria, e.g. MEL; Myrtaceae]",
1741,huh,76512,"Legrand, Carlos Maria Diego Enrique",Carlos Maria Diego Enrique Legrand,D. Legrand,D. Legrand,C. M. D. E. Legrand,"Legrand, Carlos Maria Diego Enrique",Uruguay,Uruguay,Myrtaceae,NA,Carlos Maria Diego Enrique Legrand,"Legrand, C.M.D.E.",legrand,acddeeglmnr,"[collector note: Original herbrium (South America, mainly Uruguay): MVM; South America (Myrtaceae): B, MVM; Uruguay (Ph.): F, MVM, P]",
1742,huh,114635,"Cantley, Jason T.","Cantely, J. T.",J. Cantley,NA,J. T. Cantley,"Cantley, Jason T.",Papua New Guinea,NA,Myrtaceae,NA,Jason T. Cantley,"Cantley, J.T.",cantley,acejlntty,[author note: Myrtaceae],
1743,huh,114635,"Cantley, Jason T.","Cantely, J. T.",J. Cantley,NA,J. T. Cantley,"Cantley, Jason T.",Papua New Guinea,NA,Myrtaceae,NA,Jason T. Cantley,"Cantely, J.T.",cantely,acejlntty,[author note: Myrtaceae],
1744,huh,71911,"Chantaranothai, Pranom",Pranom Chantaranothai,Chantaranothai,Chantar.,P. Chantaranothai,"Chantaranothai, Pranom",Thailand,NA,Sapotaceae,NA,Pranom Chantaranothai,"Chantaranothai, P.",chantaranothai,aaaachhinnoprtt,"[author note: Sapotaceae, Myrtaceae]",
1745,huh,6742,"Dawson, John Wyndham",John Wyndham Dawson,J. W. Dawson,J. W. Dawson,J. Wyndham Dawson,"Dawson, John Wyndham",New Zealand,New Zealand,Myrtaceae,NA,John Wyndham Dawson,"Dawson, J.W.",dawson,adjnosww,[author note: Herbarium and types: WELTU. Taxonomy of New Zealand Umbelliferae and Pacific capsular Myrtaceae] [collector note: WELTU],
1746,huh,68010,"Nic Lughadha, Eimear",Eimear Nic Lughada,Nic Lughadha,Nic Lugh.,Nic Lughadha,"Nic Lughadha, Eimear",Brazil,NA,Myrtaceae,NA,Eimear Nic Lughadha,"Lughadha, E.N.",lughadha,aadeghhlnu,[author note: K; Myrtaceae],
1747,huh,68010,"Nic Lughadha, Eimear",Eimear Nic Lughada,Nic Lughadha,Nic Lugh.,Nic Lughadha,"Nic Lughadha, Eimear",Brazil,NA,Myrtaceae,NA,Eimear Nic Lughadha,"Lughada, E.N.",lughada,aadeghlnu,[author note: K; Myrtaceae],
1748,huh,13430,"Moggi, Guido",Guido Moggi,Moggi,Moggi,G. Moggi,"Moggi, Guido",Italy,Italy,Myrtaceae,NA,Guido Moggi,"Moggi, G.",moggi,gggimo,"[author note: Flora of s. Italy and ne. tropical Africa; Eucalyptus, Myrtaceae] [collector note: DAO (incl. cult.), FT.]",
1749,huh,43412,"Guymer, Gordon Paul",Gordon Paul Guymer,Guymer,Guymer,G. P. Guymer,"Guymer, Gordon Paul",Australia (Country),Australia (Country),Sterculiaceae,NA,Gordon Paul Guymer,"Guymer, G.P.",guymer,eggmpruy,"[author note: BRI; Sterculiaceae, Myrtaceae] [collector note: AD, B, BRI, CANB, DNA, GREE, K, L, MEL, MO, NE, NSW, P, QRS, UPS]",
1750,huh,83380,"Mattos, Joao Rodrigues","Mattos, J. R.",Mattos,NA,J. R. Mattos,"Mattos, Joao Rodrigues",Brazil,NA,Myrtaceae,NA,Joao Rodrigues Mattos,"Mattos, J.R.",mattos,ajmorstt,[author note: Herbarium and types: IPRN. Brazilian Myrtaceae; Rio Grande do Sul vegetation],
1751,huh,69918,"Jones, S. R.",S. R. Jones,S. R. Jones,S. R. Jones,S. R. Jones,"Jones, S. R.",Australia (Country),NA,Myrtaceae,NA,S. R. Jones,"Jones, S.R.",jones,ejnorss,[author note: CANB; Myrtaceae],
1752,huh,3909,"Rule, K.",K. Rule,Rule,Rule,K. Rule,"Rule, K.",Australia (Country),Australia (Country),Myrtaceae,NA,K. Rule,"Rule, K.",rule,eklru,"[author note: La Trobe Univ. Victoria; Myrtaceae] [collector note: AD, CANB, MEL, NSW]",
1753,huh,63737,"Kawasaki, Maria Lucia",Maria L£cia Kawasaki,M. L. Kawasaki,M. L. Kawas.,M. L. Kawasaki,"Kawasaki, Maria Lucia",Brazil; French Guiana,NA,Myrtaceae,NA,Maria Lucia Kawasaki,"Kawasaki, M.L.",kawasaki,aaaikklmsw,[author note: SP; Myrtaceae],
1754,huh,40035,"Soares-Silva, L£cia Helena",Lucia Helena Soares-Soares,Soares-Silva,Soares-Silva,L. H. Soares-Silva,"Soares-Silva, L£cia Helena",Brazil,Brazil,Myrtaceae,NA,L˙cia Helena Soares-Silva,"Soares-Silva, L.H.",soares-silva,aaehillorsssv,"[author note: Univ. Brasilia; Myrtaceae] [collector note: FUEL, UB]",
1755,huh,40035,"Soares-Silva, L£cia Helena",Lucia Helena Soares-Soares,Soares-Silva,Soares-Silva,L. H. Soares-Silva,"Soares-Silva, L£cia Helena",Brazil,Brazil,Myrtaceae,NA,L˙cia Helena Soares-Silva,"Soares-Soares, L.H.",soares-soares,aaeehloorrssss,"[author note: Univ. Brasilia; Myrtaceae] [collector note: FUEL, UB]",
1756,huh,10149,"Landrum, Leslie R.","Landrum, L. R.",Landrum,Landrum,L. R. Landrum,"Landrum, Leslie R.",USA,USA,Myrtaceae,NA,Leslie R. Landrum,"Landrum, L.R.",landrum,adllmnrru,"[author note: ASU: New World Myrtaceae, worldwide subtribe Myrtinae] [collector note: ASU]",
1757,huh,8504,"Sobral, Marcos",Marcos Sobral,Sobral,Sobral,M. Sobral,"Sobral, Marcos",Brazil,Brazil,Myrtaceae,NA,Marcos Sobral,"Sobral, M.",sobral,ablmors,[author note: ESAL; Myrtaceae] [collector note: CVRD],
1758,huh,21541,"Marchant, Neville Graeme",Neville Graeme Marchant,N. G. Marchant,N. G. Marchant,N. G. Marchant,"Marchant, Neville Graeme",Australia (Country),Australia (Country),Myrtaceae,NA,Neville Graeme Marchant,"Marchant, N.G.",marchant,aacghmnnrt,"[author note: Myrtaceae, Droseraceae (Drosera), regional floras; Col. at: PERTH, K] [collector note: K, PERTH]",
1759,huh,1870,"McVaugh, Rogers",Rogers McVaugh,McVaugh,McVaugh,R. McVaugh,"McVaugh, Rogers",Mexico; USA,USA,Myrtaceae,NA,Rogers McVaugh,"Mcvaugh, R.",mcvaugh,acghmruv,"[author note: Herbarium and types: MICH (orig.), GH, NCU; Myrtaceae, vascular flora of Mexico, esp. Novo-Galiciana] [collector note: often et al.]",
1760,huh,38696,"Rathakrishnan, Nattanmai Chokkappan",Nattanmai Chokkappan Rathakrishnan,Rathakrishnan,Rathakr.,N. C. Rathakrishnan,"Rathakrishnan, Nattanmai Chokkappan",India,India,Myrtaceae,NA,Nattanmai Chokkappan Rathakrishnan,"Rathakrishnan, N.C.",rathakrishnan,aaachhiknnnrrst,"[author note: MH; S. Indian floristics; Indian Myrtaceae] [collector note: MH] Example of Name Published: Cassia intermedia B.D.Sharma, Vivek. & Rathakr., Proc. Indian Acad. Sci., B 80(6): 301. 1974",
1761,huh,80689,"Snow, Neil Wilton","Snow, N. W.",N. Snow,NA,N. W. Snow,"Snow, Neil Wilton",USA,NA,Myrtaceae,NA,Neil Wilton Snow,"Snow, N.W.",snow,nnosww,"[author note: Leptochloa; BRI, GREE, MO, TAES] Research: Myrtaceae (e.g., Gossia, Rhodamnia, Eugenia, Syzygium, Rhodomyrtus, Uromyrtus, & Pilidiostigma). Collected with: Ronald Hartman, Ernie Nelson, Bryan Simon, Surrey Jacobs, and John Dawson (collecting dates for the teams vary). Example of Name Published: Leptochloa southwoodii N. Snow & B.K. Simon in Austrobaileya, 5(1): 138. 1997",
1762,huh,19843,"Zambom, Oberdan",Oberdan Zambom,Zambom,Zambom,O. Zambom,"Zambom, Oberdan",Brazil,Brazil,Myrtaceae,NA,Oberdan Zambom,"Zambom, O.",zambom,abmmooz,"[author note: Myrtaceae; Col. at: MBM, VIES] [collector note: col. with A. Assis; MBM, VIES]",
1763,huh,83405,Olde,Olde,Olde,Olde,Olde,Olde,Australia (Country),NA,Myrtaceae,NA,Olde,Olde,olde,delo,[author note: Myrtaceae (Grevillea)],
1764,huh,37275,"Wilson, Peter Gordon",Peter G. Wilson,Peter G. Wilson,Peter G. Wilson,Peter G. Wilson,"Wilson, Peter Gordon",Australia (Country),Australia (Country),Myrtaceae,NA,Peter Gordon Wilson,"Wilson, P.G.",wilson,gilnopsw,"[author note: Herbarium and types: NSW: Myrtaceae, Indigofera] [collector note: NSW]",
1765,huh,111437,"Pillon, Yahon",NA,Pillon,NA,Y. Pillon,"Pillon, Yahon",New Caledonia; Polynesia; South America,NA,Myrtaceae,NA,Yahon Pillon,"Pillon, Y.",pillon,illnopy,"(K) Myrtaceae, ex.: Metrosideros vitiensis (A. Gray) Pillon",
1766,huh,17300,"Schmid, Rudolf",Rudolf Schmid,R. Schmid,R. Schmid,R. Schmid,"Schmid, Rudolf",USA,Mexico,Myrtaceae,NA,Rudolf Schmid,"Schmid, R.",schmid,cdhimrs,"[author note: Flora of New Caldeonia; Myrtaceae: UC] [collector note: Baja California (col. 1970): DAV, RSA, UC etc.]",
1767,huh,69580,"Fowler, Beverly Ann",Beverly Ann Fowler,B. A. Fowler,B. A. Fowler,B. A. Fowler,"Fowler, Beverly Ann",USA,NA,Nyctaginaceae,NA,Beverly Ann Fowler,"Fowler, B.A.",fowler,abeflorw,[author note: Nyctaginaceae],
1768,huh,78331,"Cao, Yu-hui",Yu-hui Cao,Y. H. Cao,Y. H. Cao,Y. H. Cao,"Cao, Yu-hui",China,NA,Nyctaginaceae,NA,Yu-hui Cao,"Cao, Y.",cao,acoy,[author note: CDC; Nyctaginaceae and Portulaceae of Sichuan],
1769,huh,1447,"Fosberg, Francis Raymond","Fosberg, F. R.",Fosberg,Fosberg,F. R. Fosberg,"Fosberg, Francis Raymond",USA,Colombia; Ecuador; Japan; Mexico; Peru; Seychelles; USA,Rubiaceae,NA,Francis Raymond Fosberg,"Fosberg, F.R.",fosberg,beffgorrs,"[author note: US; Taxonomy and ecology of tropical island vascular plants; Rubiaceae, Nyctaginaceae, especially Boerhavia] [collector note: Also in Micronesia, Polynesia & Ryukyu Is.; US]",
1770,huh,33538,"Pilz, George Edmund",George Edmund Pilz,Pilz,Pilz,G. E. Pilz,"Pilz, George Edmund",Costa Rica; USA,Costa Rica; Honduras; USA,Nyctaginaceae,NA,George Edmund Pilz,"Pilz, G.E.",pilz,egilpz,"[author note: EAP, MO; Nyctaginaceae, Sapotaceae, Honduran trees] [collector note: Africa: MO. Honduras: EAP] Example of Name Published: Cirsium fontinale var. campylon (H. Sharsm.) Pilz ex D.J. Keil & C.E. Turner, Phytologia 73(4): 313. 1992",
1771,huh,7097,"Paul, S. R.",S. R. Paul,S. R. Paul,S. R. Paul,S. R. Paul,"Paul, S. R.",India,India,Nyctaginaceae,NA,S. R. Paul,"Paul, S.R.",paul,alprsu,[author note: LWG; floristics; phytogeography; Ixora; Nyctaginaceae] [collector note: LWG],
1772,huh,25063,"Spellenberg, Richard William",Richard William Spellenberg,Spellenberg,Spellenb.,R. W. Spellenberg,"Spellenberg, Richard William",USA,Mexico; USA,Nyctaginaceae,NA,Richard William Spellenberg,"Spellenberg, R.W.",spellenberg,beeegllnprrsw,[author note: Nyctaginaceae; floristics of sw US & n Sierra Madre (Mexico); NMC] [collector note: NMC],
